wl,Male 1,Male 2,Male 3,Male 4,Male 5,Male 6,Male 7,Male 8,Male 9,Male 10,Male 11,Andromorph 1,Andromorph 2,Andromorph 3,Andromorph 4,Andromorph 5,Andromorph 6,Andromorph 7,Andromorph 8,Andromorph 9,Andromorph 10,Andromorph 11,Andromorph 11 1,Andromorph 12,Andromorph 13,Andromorph 14,Andromorph 15,Andromorph 16,Andromorph 17,Gynomorph 1,Gynomorph 2,Gynomorph 3,Gynomorph 4,Gynomorph 5,Gynomorph 6,Gynomorph 7,Gynomorph 8,Gynomorph 9,Gynomorph 10,Gynomorph 11,Gynomorph 12,Gynomorph 13,Gynomorph 14,Gynomorph 15,Gynomorph 16,Gynomorph 17,Gynomorph 18,Gynomorph 19,Gynomorph 20,bkg 1,bkg 2,bkg 3,bkg 4,bkg 5,bkg 6,bkg 7,bkg 8,bkg 9,bkg 10,bkg 11,bkg 12,bkg 13,bkg 14,bkg 15,bkg 16,bkg 17,bkg 18,bkg 19,bkg 20,bkg 21
560,15.23541546,11.5883285,9.165835749,15.07812319,14.11915942,10.95375362,16.43623913,16.42581642,12.168,16.4370029,15.26936957,16.94124638,16.43165218,14.72749275,14.48331401,13.9189913,15.8610029,19.37333333,14.18373913,16.6969913,12.8409971,14.10311594,14.46249275,20.48916908,19.79561594,20.7783285,17.73062319,16.66083092,18.44562319,4.590724637,5.858137681,2.625835749,6.532504348,3.985007246,7.157513043,5.209384058,5.160011594,6.90376087,3.449513043,3.415637681,3.837927537,4.835637681,4.552512078,4.15626087,4.139384058,4.699178744,6.945007246,3.658347826,3.68626087,24.1880942,14.06871014,18.47750725,21.23411594,17.05328502,14.90747826,13.13871014,24.69932609,21.49494686,24.91828986,22.63084058,21.72828986,23.26162319,11.60828986,21.46915942,18.79659903,24.44932609,19.35998068,20.19158454,18.10244444,18.46658937
561,15.1976087,11.57785507,9.125942029,15.03695652,14.08689855,10.90747826,16.37034783,16.3720145,12.13627826,16.3894087,15.18836957,16.86247826,16.34544927,14.71094203,14.45046376,13.8789913,15.82885217,19.33023189,14.13213043,16.63726957,12.81156522,14.05463043,14.36782609,20.45023189,19.72552174,20.69521739,17.66052174,16.60617391,18.40856522,4.618372671,5.887152174,2.645710145,6.54786087,4.014826087,7.19386087,5.236608696,5.193147826,6.9175,3.46986087,3.435891304,3.866550724,4.853391304,4.583333333,4.191608696,4.1625,4.722376812,6.981608696,3.674521739,3.70273913,24.08156522,13.84817391,18.29921739,21.01185507,16.88257971,14.69617391,12.93565217,24.5285,21.27185507,24.75707246,22.4377971,21.54182609,23.07614493,11.43872464,21.28588406,18.63611594,24.31852174,19.15469565,19.93849275,17.92304348,18.29208696
562,15.15797101,11.55618357,9.076666667,14.99615942,14.04821256,10.86768116,16.3215942,16.32272947,12.13692754,16.32327536,15.11525362,16.82427536,16.24879227,14.68195652,14.40975845,13.81849275,15.78414493,19.27642512,14.05195652,16.61371014,12.80478261,14.00311594,14.33463768,20.45463768,19.68213768,20.65594203,17.6140942,16.5510628,18.35561594,4.635258799,5.905,2.654879227,6.555362319,4.044202899,7.238869565,5.259384058,5.218869565,6.937065217,3.491652174,3.459021739,3.897922705,4.890724638,4.624589372,4.234384058,4.211884058,4.74,7.009202899,3.688695652,3.738695652,23.95025362,13.65746377,18.27855072,20.88270531,16.75236715,14.49816425,12.74963768,24.37648551,21.18961353,24.54246377,22.32985507,21.39603865,22.96425121,11.22613527,21.09115942,18.48676329,24.18391304,19.03845411,19.82855072,17.79768116,18.20115942
563,15.11284058,11.55098551,9.046589372,14.93744203,14.00802899,10.85352174,16.24954348,16.27681642,12.11108986,16.28254493,15.05778261,16.7942029,16.14514976,14.65590821,14.36568116,13.75590725,15.74508986,19.21560387,13.99312319,16.57849855,12.77822609,13.93454348,14.28568116,20.4094686,19.62886232,20.62901449,17.57818116,16.51325604,18.32210145,4.662078675,5.92965942,2.676666667,6.593773913,4.06465942,7.281182609,5.27357971,5.244863768,6.95607971,3.513455072,3.49,3.929545894,4.94607971,4.655719807,4.25784058,4.26142029,4.777652174,7.021818841,3.712879227,3.77284058,23.845,13.53591304,18.05272464,20.70469565,16.69575845,14.31992271,12.5726087,24.17676087,20.97234783,24.3494686,22.21204831,21.23143961,22.81772947,11.06189372,21.00599034,18.32485024,24.11153623,19.01143961,19.70856039,17.63136232,18.14151691
564,15.06836232,11.54224154,9.020057971,14.89758696,13.97896618,10.81836232,16.18681159,16.21566184,12.07941449,16.2447942,14.97763043,16.73008696,16.06235749,14.62390821,14.34120773,13.69810435,15.70410435,19.16563285,13.92681159,16.54141449,12.74737971,13.85594928,14.25672464,20.35781642,19.59426812,20.60120773,17.53263043,16.46350724,18.27513043,4.680910973,5.962413043,2.70436715,6.636,4.091637681,7.32062029,5.292456522,5.260655072,6.980818841,3.537344928,3.4975,3.953304348,4.964094203,4.672183575,4.272456522,4.279137681,4.806666667,7.045775362,3.728908213,3.79,23.78831884,13.60689855,17.98017391,20.6578744,16.70678261,14.22494686,12.46017391,24.12349275,20.90114976,24.17615459,22.27017391,21.10356522,22.75994203,10.95730435,21.04563285,18.28114976,24.04676812,19.00459903,19.66229952,17.56896618,18.1212657
565,15.03349711,11.51441233,8.99849711,14.86274566,13.92957611,10.7666185,16.14267341,16.17157032,12.04549133,16.17504046,14.89936416,16.69823699,15.96990366,14.58812139,14.29107899,13.64549133,15.6632948,19.13408478,13.87218208,16.51839306,12.7279422,13.80210983,14.22549133,20.32431599,19.53992775,20.50732177,17.46380058,16.39323699,18.2191185,4.702113956,5.992817919,2.735587668,6.642647399,4.127817919,7.367156069,5.311936416,5.282901734,7.011445087,3.572254335,3.508063584,3.985211946,4.993309249,4.709624277,4.298063584,4.301372832,4.83150289,7.085072254,3.744084778,3.816127168,23.6209104,13.45034682,17.82647399,20.49088632,16.56520231,13.96454721,12.29309249,23.9409104,20.72454721,23.87144509,22.11539499,20.88971098,22.57346821,10.78337187,20.90046243,18.11487476,23.82615607,18.82657033,19.5238921,17.41840077,18.01013487
566,14.99195652,11.49373913,8.989188406,14.82006522,13.90423189,10.70756522,16.05915217,16.09610145,11.97605217,16.1098087,14.79915217,16.61817391,15.86715942,14.55610145,14.25585508,13.6105913,15.62756522,19.10553623,13.85036957,16.46902609,12.67605217,13.72134783,14.17,20.25252174,19.46476087,20.43008695,17.37915217,16.3130145,18.13013043,4.716583851,6.006217391,2.727884058,6.66546087,4.157195652,7.416243478,5.340304348,5.314243478,7.052195652,3.608,3.515608696,4.002275363,5.003717391,4.721014493,4.315304348,4.3075,4.837478261,7.133717391,3.751623188,3.832478261,23.49323913,13.26404348,17.62269565,20.30327536,16.43553623,13.78855072,12.04465217,23.80367391,20.55431884,23.52115942,21.93994203,20.68034783,22.35823188,10.5644058,20.62976812,17.90701449,23.55836957,18.68602899,19.34301449,17.29269565,17.89098551
567,14.95625969,11.49986434,8.97632752,14.77194041,13.86959302,10.65938953,15.98199128,16.03629361,11.92355233,16.04738953,14.71699128,16.56469477,15.81279069,14.54653101,14.23972868,13.56363372,15.58951163,19.03285852,13.8021439,16.43167442,12.62383721,13.6646439,14.12938953,20.22312984,19.40704215,20.32938953,17.28688953,16.2260562,18.03704215,4.758745848,6.052601744,2.770203488,6.688325581,4.170152616,7.450325581,5.362601744,5.332122093,7.070203488,3.615918605,3.53,4.018468992,5.020101744,4.726937985,4.332601744,4.320050872,4.856734496,7.155406977,3.773401162,3.850169574,23.33587209,13.05755814,17.43877907,20.01911822,16.2588469,13.49381783,11.76827035,23.58632994,20.33898256,23.20789729,21.71456395,20.45877907,22.12463178,10.30796512,20.35803295,17.62258721,23.34561773,18.4921124,19.1588469,17.05150194,17.68959302
568,14.90515942,11.46797102,8.953855072,14.70906522,13.82385507,10.59156522,15.90906522,15.98297102,11.88062609,15.98772174,14.65445652,16.53578261,15.74568116,14.51784058,14.18130435,13.49956522,15.54262609,18.97104348,13.74426087,16.40062609,12.59631304,13.61097826,14.08078261,20.18385507,19.33773913,20.26489855,17.20945652,16.15515942,17.98715217,4.785490684,6.084413043,2.787188406,6.705843478,4.198630435,7.492591304,5.376913043,5.354747826,7.108434783,3.627530435,3.542108696,4.050362319,5.051326087,4.765231884,4.342304348,4.348826087,4.878956522,7.189804348,3.802811594,3.887028985,23.1186087,12.91695652,17.37843478,19.93005797,16.18078261,13.21547826,11.60352174,23.41817391,20.21542029,22.916,21.52292754,20.24142029,21.88162319,10.15875362,20.21698551,17.45142029,23.13934783,18.37907246,19.03724638,16.88855072,17.6033913
569,14.87481104,11.45725775,8.924515504,14.66427326,13.80607558,10.56911337,15.84221657,15.93069767,11.83706395,15.982,14.61015988,16.51677326,15.6841376,14.5174467,14.13628876,13.4554186,15.52035465,18.91843993,13.71382994,16.37106395,12.5614186,13.55338663,14.03531977,20.13903101,19.30515988,20.22569767,17.16265988,16.14881783,17.96588663,4.834771595,6.13806686,2.821560077,6.752453488,4.209113372,7.53880814,5.41028343,5.38280814,7.146896802,3.648936047,3.569396802,4.091749031,5.093953488,4.797635659,4.358226744,4.384396802,4.937044574,7.254396802,3.855271318,3.928711241,23.01826308,12.84443314,17.31822674,19.8845155,16.12456395,13.01650194,11.54741279,23.28914971,20.07139535,22.81182171,21.3114438,20.13338178,21.62536822,9.977044574,20.18650194,17.36198643,22.9553561,18.30569767,18.85870155,16.69439922,17.47886628
570,14.82625604,11.42033817,8.871256039,14.60731884,13.76217392,10.54137681,15.79706522,15.91149758,11.814,15.94130435,14.53913043,16.49362319,15.62826087,14.49171498,14.10033817,13.39750725,15.4766087,18.84009662,13.65507246,16.35744928,12.54489855,13.51137681,13.97275362,20.11574879,19.22326087,20.12826087,17.07894928,16.10033817,17.91094203,4.869068323,6.185434783,2.841497584,6.776347826,4.227934783,7.568898551,5.434746377,5.405797101,7.173369565,3.662898551,3.594492754,4.139033816,5.124492754,4.844323672,4.375869565,4.420615942,4.965410628,7.307681159,3.882995169,3.97236715,22.85793478,12.6807971,17.16304348,19.75671498,15.98120773,12.73647343,11.40528986,23.07731884,19.97845411,22.61531401,21.07714976,19.92980676,21.35806763,9.799130435,20.07454106,17.27661836,22.73355072,18.20879227,18.72695652,16.5594686,17.33613527
571,14.7653876,11.37666667,8.854108527,14.57430233,13.72410853,10.49430233,15.72052326,15.86868217,11.78144186,15.88893023,14.49430233,16.50186047,15.54782946,14.47042636,14.01534884,13.37195349,15.44595349,18.79325581,13.62116279,16.34195349,12.50944186,13.4905814,13.92744186,20.10286822,19.14238372,20.0424031,16.99395349,16.03992248,17.86087209,4.90986711,6.22377907,2.869612403,6.783767442,4.270348837,7.62827907,5.475,5.449255814,7.226569767,3.697488372,3.62,4.174186047,5.17377907,4.88375969,4.404360465,4.461918605,4.998372093,7.378837209,3.900852713,4.018333333,22.62377907,12.29581395,16.9672093,19.48139535,15.68124031,12.41627907,11.08511628,22.78081395,19.68333333,22.21410853,20.68713178,19.6375969,20.95589147,9.434263566,19.73635659,16.99131783,22.4319186,18.0055814,18.46643411,16.24209302,17.02767442
572,14.72968023,11.35687984,8.804893411,14.52335029,13.68156008,10.44734012,15.6440407,15.81191376,11.73387209,15.86293605,14.45202035,16.47734012,15.49468023,14.45911337,13.97978682,13.32948837,15.40948837,18.72290698,13.57069041,16.29561628,12.47774419,13.44202035,13.8540407,20.05624031,19.07585029,19.99489341,16.93835029,15.99957364,17.81085029,4.954833887,6.271809593,2.897093023,6.827575581,4.291329942,7.66519186,5.488989826,5.477319767,7.265319767,3.713063953,3.635319767,4.207873062,5.201649709,4.910319767,4.425319767,4.501809593,5.045532946,7.439789244,3.948866279,4.049539729,22.42787064,12.03244186,16.82,19.29758721,15.44985465,12.15340116,10.81,22.5180814,19.43964147,21.92169574,20.44786822,19.35120155,20.72609496,9.19496124,19.52722868,16.8526938,22.1530814,17.79049419,18.31560078,15.99049419,16.77028101
