wl,Male 1,Male 2,Male 3,Male 4,Male 5,Male 6,Male 7,Male 8,Male 9,Male 10,Male 11,Male 12,Male 13,Male 14,Male 15,Male 16,Male 17,Male 18,Male 19,Male 20,Male 21,Male 22,Andromorph 1,Andromorph 2,Andromorph 3,Andromorph 4,Andromorph 5,Andromorph 6,Andromorph 7,Andromorph 8,Andromorph 9,Andromorph 10,Andromorph 11,Andromorph 11 1,Andromorph 12,Andromorph 13,Andromorph 14,Andromorph 15,Andromorph 16,Andromorph 17,Andromorph 18,Andromorph 19,Gynomorph 1,Gynomorph 2,Gynomorph 3,Gynomorph 4,Gynomorph 5,Gynomorph 6,Gynomorph 7,Gynomorph 8,Gynomorph 9,Gynomorph 10,Gynomorph 11,Gynomorph 12,Gynomorph 13,Gynomorph 14,Gynomorph 15,Gynomorph 16,Gynomorph 17,Gynomorph 18,Gynomorph 19,Gynomorph 20,Gynomorph 21,bkg 1,bkg 2,bkg 3,bkg 4,bkg 5,bkg 6,bkg 7,bkg 8,bkg 9,bkg 10,bkg 11,bkg 12,bkg 13,bkg 14,bkg 15,bkg 16,bkg 17,bkg 18,bkg 19,bkg 20,bkg 21
430,5.94525,7.483,8.1385625,5.3781875,4.535708333,5.33685,5.98055,6.673333333,3.74825,8.6191,5.28625,9.8180625,6.0664375,4.612166667,7.52525,6.6325,8.4639375,7.3339375,5.6164375,10.5035,5.821416667,5.14,5.295666667,7.53375,5.3781875,6.5505,7.48855,7.5110625,5.695666667,6.59515,6.1894,6.951833333,7.646375,8.542125,8.136375,7.2981875,9.201375,3.44925,9.2785,7.586,8.042333334,6.625,2.677714286,3.631625,1.902125,1.55675,1.913041667,1.673291666,2.129625,1.85575,1.389625,1.830208334,1.83925,1.9631875,1.74675,2.83765,2.1028125,2.5874375,2.3185,2.2731,1.654625,2.325666667,3.086375,10.273,9.444875,10.8285,11.30416667,9.9985,3.593416667,7.17925,11.7614375,9.34325,10.65466667,10.98383333,9.590833333,10.75433333,4.282416667,11.40716667,9.690083333,10.70775,10.67466667,10.27366667,6.414083333,8.802833333
431,5.956666667,7.569453704,8.143972222,5.418527778,4.574018518,5.368466667,5.976,6.660592592,3.792055556,8.625944444,5.280355556,9.894111111,6.0825,4.621027778,7.560685185,6.655,8.488972222,7.351986111,5.62,10.55654167,5.834111111,5.152055556,5.366074074,7.579407408,5.418527778,6.623344444,7.531644444,7.511986111,5.718722223,6.589122222,6.1783,6.987259259,7.686097222,8.587055556,8.195138889,7.321986111,9.278083333,3.473083333,9.349111111,7.630069444,8.069314815,6.65,2.720079365,3.679796296,1.949111111,1.605069444,1.971074074,1.692055556,2.137430556,1.867944444,1.3975,1.843287037,1.850958333,1.967944444,1.781027778,2.8937,2.149111111,2.636611111,2.372740741,2.325644444,1.686027778,2.366074074,3.132125,10.41759722,9.661166667,10.93233333,11.35274074,10.09401852,3.685111111,7.268694444,11.83404167,9.43087037,10.74972222,11.08264815,9.715981481,10.79744444,4.456944444,11.53118519,9.852833333,10.81418056,10.78794444,10.44511111,6.58862963,8.892333333
432,5.966712963,7.628125,8.125173611,5.444791667,4.588217592,5.391777778,5.966138889,6.653333333,3.833805556,8.628027778,5.286,9.967152778,6.087569444,4.613472222,7.566712963,6.659965278,8.499930556,7.355138889,5.624895833,10.59732639,5.869907407,5.187256944,5.409861111,7.619861111,5.444791667,6.68175,7.56775,7.505,5.763101852,6.582027778,6.179861111,7.023101852,7.719895833,8.605,8.254791667,7.322638889,9.315,3.494791667,9.404444444,7.652430556,8.096435186,6.667361111,2.752599206,3.74787037,1.97,1.632361111,2.016365741,1.713171296,2.14,1.889861111,1.419895833,1.853263889,1.862465278,1.977395833,1.8,2.941833333,2.187430556,2.674791667,2.40324074,2.349944444,1.717291667,2.403101852,3.174895833,10.32809028,9.546180556,10.95041667,11.34324074,10.05023148,3.665925926,7.155555556,11.90184028,9.3875,10.69365741,11.02708333,9.776111111,10.72060185,4.523472222,11.50652778,9.867407407,10.78024306,10.83976852,10.32333333,6.610046296,8.906527778
433,5.975111111,7.686722222,8.11925,5.445,4.573111111,5.370333333,5.982,6.639,3.852133333,8.632,5.288466667,10.02533333,6.088833333,4.616666667,7.581777778,6.679583333,8.52325,7.38325,5.6125,10.60691667,5.872555555,5.186166667,5.461222222,7.663555556,5.445,6.699533333,7.569866667,7.50675,5.774111111,6.583066667,6.176466667,7.067666667,7.73825,8.629416667,8.312666667,7.334416667,9.342666667,3.498833333,9.444166667,7.663833333,8.09,6.686916667,2.751571429,3.786277778,1.9635,1.63425,2.034222222,1.727166666,2.151916667,1.907666667,1.429416667,1.875888889,1.876916667,1.994416667,1.838416667,2.9798,2.231666667,2.729166667,2.452,2.396266667,1.725916667,2.428444444,3.20575,10.45975,9.597,10.957,11.38611111,10.04622222,3.743666667,7.140833333,12.00908333,9.497111111,10.68422222,10.98866667,9.885555556,10.81622222,4.505777778,11.52022222,9.877777778,10.72016667,10.86744444,10.35955556,6.662444444,9.030666667
434,5.969675023,7.729572887,8.105884401,5.462987465,4.577418756,5.376,5.984194986,6.626666667,3.858,8.627805014,5.294902507,10.07597493,6.083628134,4.606768802,7.583333333,6.6825,8.519512535,7.398628134,5.629115599,10.62185933,5.892154132,5.202987465,5.498820798,7.688820798,5.462987465,6.729292479,7.581097493,7.4975,5.790324977,6.571805014,6.176,7.080324977,7.748871866,8.638871866,8.345,7.356128134,9.38,3.517743733,9.51597493,7.676371866,8.11,6.701371866,2.78557501,3.834572887,1.977256267,1.652743733,2.058495822,1.739735376,2.1525,1.905487465,1.433871866,1.874085422,1.884115599,1.997743733,1.8525,3.003292479,2.26,2.753871866,2.475162488,2.421292479,1.765487465,2.463983287,3.256859331,10.35557799,9.353537604,10.71487465,11.1864624,9.960362117,3.649266481,6.912743733,11.85268106,9.37,10.57463324,10.78914578,9.77731662,10.6676416,4.334428969,11.3476416,9.691504178,10.5048468,10.75560817,10.1876416,6.487966574,8.961829155
435,5.941123491,7.75498143,8.093328691,5.468328691,4.564456825,5.372662953,5.989314763,6.623314763,3.859325905,8.614685237,5.280662953,10.11497214,6.061685237,4.577790158,7.56001857,6.670027855,8.507513928,7.380013928,5.638328691,10.615,5.893333333,5.2025,5.521086351,7.707771588,5.468328691,6.733337047,7.565348189,7.495814763,5.812191272,6.554,6.164,7.101067781,7.745828691,8.629171309,8.348342618,7.333356546,9.38,3.536657382,9.561629526,7.6775,8.11,6.700842618,2.793306805,3.863839369,1.98,1.654171309,2.067219127,1.764953575,2.146657382,1.91,1.434986072,1.874438254,1.889986072,2.001657382,1.854171309,3.012,2.254986072,2.753342618,2.476666667,2.425337047,1.793328691,2.481104921,3.284972145,10.36004178,9.201740947,10.76662953,11.1656546,9.997697307,3.548969359,6.898370474,11.77254178,9.297864438,10.57104921,10.73779016,9.734493965,10.67548747,4.325580316,11.31112349,9.708932219,10.48168524,10.74447539,10.0778273,6.486648097,8.906648097
436,5.921,7.783916666,8.066916667,5.493666667,4.56,5.372466667,5.977533333,6.613722222,3.844233333,8.581533333,5.256233333,10.14954167,6.034875,4.569027778,7.544722223,6.659125,8.48825,7.368833333,5.632208333,10.58220833,5.885888889,5.1975,5.560388889,7.731166667,5.493666667,6.756933333,7.554833333,7.484708333,5.831166667,6.537066667,6.144,7.110777778,7.738833333,8.616625,8.359416667,7.324416667,9.383833333,3.54175,9.585,7.667791667,8.099611111,6.691333333,2.837047619,3.927138889,2.001166667,1.6675,2.098027778,1.777833334,2.142791667,1.932333333,1.437791667,1.880583333,1.887791667,2.005291667,1.860583333,3.018233333,2.275,2.768375,2.484111111,2.441533333,1.807625,2.487055556,3.298666667,10.38325,9.13,10.87716667,11.04688889,10.0865,3.456333333,6.795333333,11.72133333,9.218444444,10.57672222,10.67727778,9.653944444,10.71,4.283777778,11.31938889,9.672944444,10.44575,10.6665,9.998055556,6.482388889,8.858055556
437,5.897000929,7.803830084,8.051747911,5.521998607,4.556833798,5.371799443,5.968,6.6,3.867598886,8.588601671,5.273799443,10.21099582,6.007750696,4.555334262,7.518337976,6.643502786,8.472750696,7.356747911,5.628495822,10.57099582,5.875998143,5.186998607,5.581996286,7.76532962,5.521998607,6.775398329,7.540601671,7.479749304,5.868997214,6.555398329,6.160997214,7.14532962,7.717249304,8.605250696,8.384498607,7.3125,9.408997214,3.549498607,9.579498607,7.657249304,8.10532962,6.669498607,2.835714286,3.932000929,2.014498607,1.675,2.126165274,1.790663881,2.171747911,1.997994429,1.471497214,1.906332405,1.924247911,2.038746518,1.874247911,3.020200557,2.2725,2.798495822,2.502664809,2.443197772,1.824498607,2.501662024,3.313746518,10.34174791,9.117994429,10.67200557,10.99667595,9.991662024,3.363324048,6.740501393,11.68275766,9.186007428,10.45334262,10.62299907,9.6309935,10.67432683,4.154670381,11.27901578,9.548012999,10.38199861,10.65333333,9.994995357,6.406991643,8.755329619
438,5.896480965,7.832284122,8.018795265,5.5375,4.541388115,5.365147632,5.940518106,6.585431755,3.865777159,8.568406685,5.272629526,10.24356546,6.003147632,4.557005571,7.524382544,6.65393454,8.4775,7.367360724,5.634213092,10.55578691,5.884568245,5.200926184,5.635617456,7.824753946,5.5375,6.771036212,7.523777159,7.45893454,5.904753946,6.556518106,6.172111421,7.171234912,7.725786908,8.605,8.413426184,7.314860724,9.441852368,3.563426184,9.576852368,7.653426184,8.085431755,6.664860724,2.847222443,3.947376973,2.035,1.677360724,2.134814299,1.787715878,2.179213092,2.036852368,1.489213092,1.923426184,1.933426184,2.053426184,1.890647632,3.029259053,2.295926184,2.825926184,2.536666667,2.466629526,1.836713092,2.507901578,3.328426184,10.27365599,8.945738162,10.72685237,11.00543175,9.997344475,3.321355617,6.721852368,11.60115599,9.138579387,10.42030641,10.61715877,9.615060353,10.65049211,4.09450325,11.27753018,9.475246054,10.30545961,10.52468895,9.926109564,6.359628598,8.68363974
439,5.885292479,7.878922934,8.01235376,5.54235376,4.51676416,5.355883008,5.936941504,6.576666667,3.846233983,8.562350975,5.279058496,10.28970752,5.990292479,4.561666667,7.530194986,6.6625,8.495,7.38235376,5.64117688,10.55808496,5.893333333,5.207792479,5.679415042,7.874707521,5.54235376,6.763058496,7.509292479,7.44867688,5.941569173,6.573058496,6.196707521,7.196861653,7.73367688,8.61735376,8.45735376,7.3275,9.445,3.57735376,9.58735376,7.65514624,8.08352832,6.651469359,2.860588938,3.982451254,2.01735376,1.67367688,2.132451254,1.805394614,2.193969359,2.06,1.508530641,1.959805014,1.96132312,2.07632312,1.911030641,3.045883008,2.316030641,2.85367688,2.568040854,2.493766017,1.84235376,2.514902507,3.3425,10.22969359,8.778523677,10.6164624,10.92332405,9.987836583,3.242154132,6.658816156,11.54395543,9.01450325,10.28331476,10.54803157,9.578616527,10.60823584,3.986267409,11.17861653,9.40371402,10.29014624,10.4513649,9.968430826,6.307836583,8.577836583
440,5.865716946,7.906666667,8.009427374,5.582569832,4.521713222,5.375083799,5.942513966,6.575903165,3.846513966,8.552513966,5.284055866,10.32006983,5.974287709,4.562001862,7.524953445,6.654930168,8.483072626,7.379930168,5.645,10.52993017,5.889236499,5.195,5.709143389,7.898379888,5.582569832,6.774055866,7.511486034,7.461927374,5.982662943,6.583541899,6.214625698,7.219236499,7.733715084,8.626215084,8.463715084,7.327430168,9.452569832,3.582569832,9.596284916,7.655642458,8.060856611,6.641927374,2.863224262,3.986666667,2.041284916,1.690069832,2.150856611,1.825046555,2.206284916,2.092569832,1.522569832,1.985046555,1.975712291,2.080642458,1.918072626,3.050458101,2.323072626,2.856215084,2.581620112,2.513430168,1.855642458,2.519236499,3.3375,10.29857542,8.744441341,10.62743017,10.89972067,9.952290503,3.165251397,6.724441341,11.50414804,9.022960894,10.22905028,10.53342644,9.564003724,10.67067039,3.984003724,11.16486034,9.396852886,10.36600559,10.44828678,9.992476723,6.293240223,8.569143389
